Parent_Code,WordIndex
56540-8,1164
60463-7,1165
RXNORM:11149,1166
PheCode:250.11,1167
PheCode:250.30,1168
RXNORM:4850,1169
764-1,1170
2021-4,1171
2705-2,1172
2746-6,1173
2711-0,1174
14627-4,1175
PheCode:250.21,1176
CCS-PCS:11,1177
RXNORM:54987,1178
RXNORM:216544,1179
RXNORM:214792,1180
11555-0,1181
3151-8,1182
39481-7,1183
32713-0,1184
2692-2,1185
1924-0,1186
30350-3,1187
CCS-PCS:205,1188
CCS-PCS:115,1189
RXNORM:20481,1190
RXNORM:11124,1191
RXNORM:6585,1192
PheCode:803.10,1193
CCS-PCS:148,1194
PheCode:803.00,1195
CCS-PCS:161,1196
CCS-PCS:163,1197
2143-6,1198
PheCode:251.10,1199
PheCode:259.40,1200
PheCode:260.70,1201
RXNORM:700810,1202
PheCode:747.10,1203
PheCode:759.00,1204
PheCode:747.12,1205
PheCode:747.13,1206
PheCode:793.00,1207
PheCode:414.00,1208
PheCode:758.10,1209
2216-0,1210
2230-1,1211
1649-3,1212
2666-6,1213
25489-6,1214
25473-0,1215
RXNORM:17767,1216
PheCode:426.80,1217
PheCode:447.00,1218
RXNORM:214618,1219
RXNORM:3827,1220
RXNORM:42316,1221
PheCode:261.41,1222
PheCode:260.00,1223
PheCode:264.20,1224
PheCode:505.00,1225
PheCode:557.00,1226
CCS-PCS:26,1227
RXNORM:17128,1228
PheCode:984.00,1229
16117-4,1230
16118-2,1231
88700-0,1232
7970-7,1233
8078-8,1234
5133-4,1235
5370-2,1236
9361-7,1237
9360-9,1238
22110-1,1239
22111-9,1240
9783-2,1241
33609-9,1242
9788-1,1243
53704-3,1244
71774-4,1245
45323-3,1246
10912-4,1247
5644-0,1248
26760-9,1249
RXNORM:15996,1250
RXNORM:32937,1251
24111-7,1252
PheCode:301.00,1253
RXNORM:10582,1254
RXNORM:10237,1255
PheCode:301.20,1256
RXNORM:11295,1257
RXNORM:1086769,1258
32705-6,1259
45084-1,1260
5774-5,1261
RXNORM:221147,1262
RXNORM:72625,1263
RXNORM:466600,1264
PheCode:626.20,1265
PheCode:579.00,1266
RXNORM:1191,1267
13502-0,1268
20449-5,1269
9586-9,1270
7818-8,1271
9335-1,1272
55793-4,1273
6824-7,1274
6825-4,1275
12230-9,1276
12238-2,1277
11031-2,1278
4991-6,1279
11572-5,1280
PheCode:202.20,1281
PheCode:198.10,1282
CCS-PCS:67,1283
PheCode:201.00,1284
PheCode:202.24,1285
CCS-PCS:54,1286
PheCode:195.10,1287
CCS-PCS:209,1288
RXNORM:8516,1289
RXNORM:10402,1290
2469-5,1291
2468-7,1292
2467-9,1293
2466-1,1294
CCS-PCS:63,1295
PheCode:197.00,1296
X1491-0,1297
11274-8,1298
10378-8,1299
7791-7,1300
PheCode:202.22,1301
RXNORM:3013,1302
PheCode:279.11,1303
48378-4,1304
33944-0,1305
X1652-7,1306
36916-5,1307
13227-4,1308
45166-6,1309
22203-4,1310
33469-8,1311
6275-2,1312
6115-0,1313
6078-0,1314
RXNORM:5720,1315
RXNORM:5224,1316
X2024-8,1317
PheCode:1005.00,1318
PheCode:300.13,1319
769-0,1320
737-7,1321
744-3,1322
714-6,1323
707-0,1324
735-1,1325
9317-9,1326
PheCode:912.00,1327
PheCode:871.20,1328
PheCode:870.30,1329
PheCode:472.00,1330
PheCode:371.21,1331
PheCode:540.11,1332
PheCode:540.10,1333
RXNORM:2189,1334
CCS-PCS:80,1335
